TILED INNER
133.821175 10.598951 2.254284
133.852441 10.596475 2.254284
133.479592 10.626074 2.254284
133.434461 10.629668 2.254284
133.778960 10.602295 2.254284
133.674239 10.610601 2.254284
133.746396 10.604877 2.254284
133.683879 10.609836 2.254284
133.694058 10.609028 2.254284
133.809836 10.599849 2.254284
133.784173 10.601882 2.254284
133.779804 10.602228 2.254284
133.827407 10.598457 2.254284
133.950694 10.588702 2.254284
133.966112 10.587484 2.254284
